inning,top_or_bottom,atbat_num_within_game,batter_name,batter_team,stand,pitcher_name,pitcher_team,p_throws,home_team_runs,away_team_runs,pitch_type_name,pitch_type_confidence,balls,strikes,last_pitch_in_atbat,pitch_num_within_atbat,break_angle,break_length,break_y,start_speed,end_speed,spin_dir,spin_rate,sz_bot,sz_top,zone,decision
1,bottom,8,Yulieski Gurriel,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,1,0,slider,0.91,0,1,1,2,3.6,8.4,23.8,83.6,76.4,232.98,2190.263,1.565,3.411,6,Strike
1,bottom,9,Marwin Gonzalez,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,1,0,slider,0.609,0,0,0,1,-7.9,10.6,23.8,79.8,73.4,60.302,2214.108,1.565,3.411,14,Strike
1,bottom,9,Marwin Gonzalez,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,1,0,curveball,0.655,0,1,0,2,-7.8,11.7,23.8,79.5,73,41.2,2097.158,1.565,3.411,7,Strike
1,bottom,9,Marwin Gonzalez,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,1,0,slider,0.847,0,2,1,3,-7.4,11.6,23.8,80.5,73.9,37.237,,1.565,3.411,14,Strike
2,top,10,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,slider,0.907,0,0,0,1,-8.6,6.7,23.8,81.9,74.5,160.153,2583.097,1.589,3.467,11,Ball
2,top,10,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,slider,0.923,1,0,0,2,-11.7,8,23.8,80.8,74.1,129.2,,1.589,3.467,11,Ball
2,top,10,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,two-seam fastball,0.933,2,0,0,3,49,6.3,23.8,91.4,82.8,237.244,2253.033,1.589,3.467,3,Strike
2,top,10,Nelson Cruz,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,slider,0.936,2,1,1,4,-16.4,7.5,23.8,83,76.1,127.089,2579.12,1.589,3.467,2,Strike
2,top,11,Kyle Seager,Seattle Mariners,L,Brad Peacock,Houston Astros,R,1,0,slider,0.929,0,0,0,1,-4,6.8,23.9,83.5,77.2,170.129,2632.842,1.589,3.467,11,Strike
2,top,11,Kyle Seager,Seattle Mariners,L,Brad Peacock,Houston Astros,R,1,0,two-seam fastball,0.892,0,1,0,2,35.6,5.3,23.8,93.5,85.1,232.73,2304.761,1.589,3.467,11,Strike
2,top,11,Kyle Seager,Seattle Mariners,L,Brad Peacock,Houston Astros,R,1,0,slider,0.972,0,2,0,3,-7,13.5,23.9,79.8,74.2,22.013,2472.692,1.589,3.467,14,Ball
2,top,11,Kyle Seager,Seattle Mariners,L,Brad Peacock,Houston Astros,R,1,0,slider,0.946,1,2,1,4,-10.9,8.2,23.9,82.2,75.8,125.73,,1.589,3.467,13,Strike
2,top,12,Danny Valencia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,two-seam fastball,0.931,0,0,0,1,43,6.9,23.8,93.5,85.2,245.922,2330.54,1.535,3.371,14,Ball
2,top,12,Danny Valencia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,two-seam fastball,0.926,1,0,0,2,37,7.2,23.8,91.9,84.2,251.083,2379.829,1.535,3.371,13,Ball
2,top,12,Danny Valencia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,two-seam fastball,0.928,2,0,0,3,39.9,6.8,23.8,92.6,84.9,246.442,2305.145,1.535,3.371,8,Strike
2,top,12,Danny Valencia,Seattle Mariners,R,Brad Peacock,Houston Astros,R,1,0,slider,0.963,2,1,1,4,-10.6,8.4,23.9,83.3,77.4,107.524,2619.555,1.535,3.371,8,Strike
2,bottom,13,Evan Gattis,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.919,0,0,1,1,32.6,7.4,23.8,87.8,80,246.492,2083.177,1.627,3.549,6,Strike
2,bottom,14,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.921,0,0,0,1,33.3,8.4,23.8,88.3,80.8,257.249,2133.199,1.487,3.285,13,Ball
2,bottom,14,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.943,1,0,0,2,-6.9,12.5,23.9,77.6,71.7,33.748,2281.986,1.487,3.285,13,Strike
2,bottom,14,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.919,1,1,0,3,-3.9,11.5,23.9,78.4,72.6,25.018,2261.27,1.487,3.285,14,Strike
2,bottom,14,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.609,1,2,0,4,-5,10.5,23.9,79.8,73.7,50.337,2263.657,1.487,3.285,14,Ball
2,bottom,14,Nori Aoki,Houston Astros,L,Samuel Gaviglio,Seattle Mariners,R,2,0,curveball,0.713,2,2,1,5,-8.3,11.7,23.8,79.5,73.2,42.658,2191.45,1.487,3.285,14,Strike
2,bottom,15,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,slider,0.875,0,0,0,1,-3.2,9.7,23.9,81.5,75.4,46.909,2262.527,1.487,3.285,4,Strike
2,bottom,15,Alex Bregman,Houston Astros,R,Samuel Gaviglio,Seattle Mariners,R,2,0,sinker,0.928,0,1,0,2,29.3,6.4,23.8,88.5,80.8,235.394,2124.416,1.487,3.285,12,Ball
